,lat,lon
0,40.7604938776,-73.9623614217
1,40.679420678,-73.9297682213
2,40.679020313,-73.9414154362
3,40.7117774697,-73.944006421
4,40.7191639353,-73.9489824903
5,40.7190754859,-73.9523747417
6,40.7257994954,-73.9508000339
7,40.7259743886,-73.941765182
8,40.7173863364,-73.9584048753
9,40.7176768503,-73.9558887963
10,40.7095574597,-73.955870087
11,40.7050990536,-73.9441801696
12,40.7663075259,-73.9716732356
13,40.7125759658,-73.9410499411
14,40.7425016746,-73.954062986
15,40.7447924142,-73.9353852705
16,40.7451932769,-73.947465366
17,40.7406680499,-73.959503824
18,40.6804570326,-73.9463687483
19,40.7191233402,-73.9424307993
20,40.7473943238,-73.9547696925
21,40.7111469742,-73.9471620002
22,40.7135045888,-73.9477348715
23,40.7170628329,-73.9448723317
24,40.7167039672,-73.9482256036
25,40.7192209008,-73.9449515488
26,40.7257394066,-73.9445747392
27,40.723402507,-73.9441891416
28,40.7321012588,-73.9578854996
29,40.7157042748,-73.9463477393
30,40.6799147422,-73.938484483
31,40.7057216428,-73.9464282944
32,40.6825331305,-73.9380236554
33,40.708763306,-73.9510276867
34,40.7116672127,-73.9514711513
35,40.7053716108,-73.9498545485
36,40.7030607629,-73.9406119039
37,40.7232229414,-73.9520093598
38,40.7190832712,-73.9584442624
39,40.7069031529,-73.9542910314
40,40.7159934213,-73.9520152979
41,40.744475594,-73.95581157
42,40.7323476534,-73.9548136702
43,40.6851375907,-73.9412440802
44,40.6961315719,-73.9436924313
45,40.6933880056,-73.9399661519
46,40.6923704627,-73.9370542288
47,40.7076918667,-73.9400186063
48,40.7087173682,-73.9447157161
49,40.721593238,-73.9579215818
50,40.7345069544,-73.9547877643
51,40.7505941046,-73.9458888948
52,40.7533481262,-73.9432724191
53,40.7510507763,-73.9406092407
54,40.7471063236,-73.949877211
55,40.747152644,-73.9431105136
56,40.7091705173,-73.9595778425
57,40.7001999915,-73.9503051799
58,40.7271247692,-73.952875724
59,40.6912699484,-73.9453521489
60,40.6861067069,-73.9446224657
61,40.683200213,-73.9502583992
62,40.6894913295,-73.9420792544
63,40.6968070651,-73.9376761853
64,40.6863121223,-73.9357758992
65,40.6813919404,-73.934889828
66,40.6823914853,-73.9439166754
67,40.7017221328,-73.943832478
68,40.6987285706,-73.9413746098
69,40.7217141489,-73.9505421335
70,40.6951571952,-73.9523603216
71,40.7147603796,-73.9570420733
72,40.7147937493,-73.9428330501
73,40.7290513468,-73.9576000381
74,40.6900159209,-73.9479812517
75,40.7071139543,-73.958034785
76,40.7141330744,-73.952383544
77,40.7204488892,-73.9616389347
78,40.731600172,-73.961482461
79,40.7207366663,-73.9547501785
80,40.690737885,-73.9512277054
81,40.6883203885,-73.9510229529
82,40.6843162047,-73.9471513376
83,40.695402286,-73.9495134272
84,40.699508163,-73.9470713007
85,40.6942560178,-73.946251359
86,40.7040848632,-73.9481479494
